Name,NumberOfReviews,Location,Rank,Review
ÀÎÃµÁ¾ÇÕ¾î½ÃÀå,13°ÇÀÇ<U+00A0>¸®ºä,"ÀÎÃµ Áß±¸ Ç×µ¿7°¡ 27 37 Yeonanbudu-ro 33beon-gil, Hang-dong 7-ga",9À§(46°÷ÀÇ ÀÎÃµ ¼ÒÀç ¼îÇÎ Áß),"The Incheon Fish Market is a great place to visit if, like me, you have at least 6 hours of layover. It is about 45 minutes drive from Incheon International Airport (meter-taxi will charge about USD 30 each way), and you will need at least an hour and a half to visit this absolutely gorgeous and well organized fish market complex, buy some fresh seafood at a stall and have it cooke at one of the restaurants within the complex. Few vendors speak English. make sure you agree on the price as seafood in South Korea can get extremely expensive. Well worth a visit.We did hundred of pictures, big choice of fish and fish products. Smell is very strong, be prepared for it.For a seafood market was surprised at the cleanliness of the stalls and surrounds. It has so many stalls selling various products both fresh and smoked and various other methods I've not seen before. A wonderful display to look at as you wander around the place. Was interested in the cooking and eating on the spot but didn't sample as I was unsure of the productWe had only one night at Incheon and the hotel staff suggested to go down to the fish market for a walk and some dinner!What a treat! This is the real deal! All live fresh fish , hundreds of stalls of it and many places where they just cook it for you to order ...from the water to the table ...simply unique!Not to be missed if you like seafood!If you are looking for a place to be for fresh fish go here .open every day . There are many different types of fish and crustaceans to choose from . But I think if you want to eat there just be aware that our clean standards are much higher than what you will see there. I bought fried shrimp and squid from a stall and later watched them drop a couple of pieces on the ground and put them on a tray so that they could be sold later . Imagine all the water and dirt. All in all if you want to see a fish market and you have time drop by.This is a huge complex with hundreds of stalls selling all sorts of seafood, fresh and dried.The place is very clean for a seafood market as there are workers working tirelessly clearing and cleaning the walkway.We were amazed with the varieties of local seafood from octopus, stingrays, shell fishes, monk fish, flatheads to giant groupers. Fish can be purchased, cut and eaten on the spot.Interesting place to visit."
ÀÎÃµ ¾ÆÆ® ÇÃ·§Æû,20°ÇÀÇ<U+00A0>¸®ºä,ÀÎÃµ Áß±¸ ÇØ¾Èµ¿1°¡ 10-1,42À§(163°÷ÀÇ ÀÎÃµ ¼ÒÀç °ü±¤Áö Áß),"We couldn't figure out what was public and what were teaching or workshop spaces as no information in English.We came across the Incheon Art Platform as we were walking to Chinatown  early on a Saturday afternoon. We saw quite a few young people participating in activities around the building, we liked what we saw outside and so went inside to be further impressed....´õ º¸±âall art lovers will love the place to enjoy the art, the history of Korean. do visit The Museum of...´õ º¸±âThe museum has posters in Korean, English, and a limited number of other languages, i.e., Japanese, German, etc., with accompanying photos larger than life. There are several relic static displays of weaponry used in the defense of South Korea. The statues of the soldiers scaling...´õ º¸±â"
°­È­ Âü¼º´Ü,24°ÇÀÇ<U+00A0>¸®ºä,ÀÎÃµ È­µµ¸é Èï¿Õ¸® »ê42-1 Ganghwa-gun,34À§(163°÷ÀÇ ÀÎÃµ ¼ÒÀç °ü±¤Áö Áß),"Nice little hike that takes about three hours to complete. I went in fall and the colors are really nice. The trail I took was a bit steep so probably not the best for small kids.Very nice place to enjoy and understand ancient legend of Korea.
It is the origin of Korea. Also there many...´õ º¸±âSupposedly this ancient altar is where the legendary Dangun (Founder of the first Korean Kingdom) offered sacrifices to the gods...´õ º¸±â"
È­¾ö»ç,39°ÇÀÇ<U+00A0>¸®ºä,Àü¶ó³²µµ ±¸·Ê ¸¶»ê¸é È²Àü¸® 12,1À§(7°÷ÀÇ ±¸·Ê ¼ÒÀç °ü±¤Áö Áß),"We had the opportunity to stay here as part of the temple stay program. This is a beautiful temple. Facilities were awesome (heated floors, en-suite bathrooms and shower). I also really enjoyed the vegetarian food and taking part in the prayers with the monks. A perfect place to unwind and relax. Temple stay staff went out of their way to make us feel comfortable. It was also great having access to this temple away from tourist hours and jostling with the crowds. A must do experience!You may choose a temple stay here after hiking the Jirisan. Or you may visit it on the way back to your lodging place from the Nogodan of Jirisan.Whatever, it's a good choice to visit. Peaceful and spacious. A typical Korean budhist temple.CY+c (18.04.14 ) There was not bigger than I guess, but there was good mood and view. Always the temple give me composure, and made me calm. The view was very good, and the atmosphere was good, too. We spend much time in there, and enjoyed view, smell and atmosphere. Good temple.I really like this place.worth visiting during winter and rainy season.gurye is awesome place.<U+263A><U+FE0F><U+263A><U+FE0F><U+263A><U+FE0F><U+263A><U+FE0F>this temple in the foothills of Chirisan is well worth a visit for its treasures. These include the famous lion statue but also the hall with its three stories from the 18th century. These wooden structures rarely survive and always take my breath away.The hike up to the Baekdudaegan ridge is very steep, but there are other nice hikes to hermitages. At the entrance area is the Chirisan bear centre, which also looks interesting.I visited this temple in conjuction with a stop in Gurye for a triathlon. Hwaeomsa temple has beautiful grounds and temple structures. It's a well kept and educational glimpse into Korean culture. Highly recommended if you are in the area with an hour to spare.As part of our trip to Jirisan, and exploration of the Piagol valley later, this was a great way to spend the afternoon. It is certainly one of the best temples we have visited in Korea as the wooden structures gave it a real earthly feel, very calming and I guess basic in some ways. Many other temples often have bright colours but this one retains the original bare wood. The whole atmosphere is sublime and as we went in autumn the colours were wonderful as the setting is surrounded by wooded mountains.Hwaeomsa Temple is one of the best in Korea. The location is exquisite, nestled in a beautiful valley in Jirisan National Park. The historic pagodas are from the Silla dynasty. Much of the wooden buildings we see today date back to the restoration of the temple between 1699-1702. The temple is littered with National Treasures, including the largest stone lantern on the Korean Peninsula. During my visit in early June, the mountain was a vivid green and the air was fresh. Hwaeomsa in my view is a hidden gem, much along the same lines as Beopjusa Temple. Too often I hear how Korean temples are all the same. You will eat your words if you visit Hwaeomsa, Beopjusa, Haeinsa, Unjusa, Tongdosa, and Bulguksa. These six temples are exceptional and are a testament to the traditions of Korean Buddhism.I visited the Hwaeomsa temple over the Buddha's birthday holiday and was wowed by the location. In late spring, the mountains are lush and bright green with foliage, and the temple itself is beautiful. It's a long way from Seoul, anywhere from 4-6 hours by bus depending on traffic, but well worth it. The Jirisan mountain area is stunning and the air quality much better than the big city.If you're brave you can opt for the temple stay option, experiencing the ascetic lifestyle of Buddhist monks. As temples go, this one is actually rather well-appointed, with electricity and hot showers. You will need to get comfortable with sleeping on the floor and eating three meals a day of vegetarian bibimbap, though. Waking up at 3AM to watch the Buddhist monks pray is a disorienting but unique experience.Otherwise, just go for the view and the relaxing hiking opportunities in the area. You won't be disappointed."
³ªÁÖ ¹è¹Ú¹°°ü,3°ÇÀÇ<U+00A0>¸®ºä,"Àü¶ó³²µµ ³ªÁÖ 384-5, Seokjeon-ri, Geumcheon-myeon (¿ì) 520-821",11À§(61°÷ÀÇ ³ªÁÖ ¼ÒÀç °ü±¤Áö Áß),"´ëÇÑ¹Î±¹¿¡¼­ ¸Ô´Â ¹è°¡ °¡Àå À¯¸íÇÑ ³ªÁÖ´ä°Ô, ¹è ¹Ú¹°°üÀÌ ÀÖ¾î ¿ì¸®³ª¶ó¿¡¼­ ÀÚ»ıÇÏ´Â ´Ù¾çÇÑ ¹èµé°ú ¼­¾ç, Áß±¹/ÀÏº»ÀÇ ¹èµéÀ» Àü½ÃÇØ³õ¾Ò´Ù. ¾Æ´Â¸¸Å­ Áñ±æ¼ö ÀÖ¾î, ¿ì¸®°¡ ¸Ô´Â ¹èµé¿¡ ´ëÇÑ ÀÌÇØ¸¦ Á¶±İ ´õ ³ĞÈú ¼ö ÀÖ´Â °÷ÀÌ´Ù. ´Ü¼ø ¹è¿¡ ´ëÇÑ Àü½Ã»Ó¸¸ ¾Æ´Ï¶ó °ú¼öÀç¹è³ó°¡ ±³À°µµ ½Ç½ÃÇÏ°í ÀÖ¾î ±³À°ÀÇ ÀåÀ¸·Îµµ ÈÇ¸¢ÇÑ ¹Ú¹°°üÀÌ´Ù.¹èÀÇ °íÀå ³ªÁÖ´ä°Ô ¹è ¹Ú¹°°üÀÌ ÀÖ¾î¿ä¹è Á¾·ù°¡ ±×·¸°Ô ´Ù¾çÇÑÁö ±¸°æ°¡¼­ ¾Ë¾Ò³×¿äÇÑ¹øÂëÀº Áö³ª´Ù µé¸±¸¸ ÇÕ´Ï´Ù.³ªÁÖ ¹è¹Ú¹°°üÀ» Ã£´Â »ç¶÷Àº µÎ Á¾·ùÀÔ´Ï´Ù. ÀÌ Áö¿ªÀ» Ã³À½ ¹æ¹®ÇÏ´Â ³¸¼± °ü±¤°´ÀÌ³ª ÃÖ±Ù ÀÌ Áö¿ªÀ¸·Î ÀüÀÔ¿Â »ç¶÷ÀÔ´Ï´Ù. ÇÑ ¶§ ³ªÁÖ¸¦ ´ëÇ¥ÇÏ´Â ¹Ú¹°°üÀÌ¾úÁö¸¸ ÇöÀç Àß °ü¸®µÇÁö ¾Ê°í ¾îµÓ°í Ä§¿ïÇÏ¸ç º¼ °Í ¾ø´Â ¸í»ö¸¸ ³ªÁÖ¸¦ ´ëÇ¥ÇÏ´Â '¹è' ¹Ú¹°°üÀÔ´Ï´Ù. ÀÌ°÷À» ¹æ¹®ÇÒ ¹Ù¿¡¾ß °¡±î¿î ³²¾çÀ¯¾÷ Ä«Æä¿¡¼­ ¹«·á Ä¿ÇÇ¸¦ ÇÑÀÜ ÇÏ´Â °Ô ³ªÀ» °Ì´Ï´Ù. 2014³â ³ªÁÖ¹è¹Ú¹°°üÀº Àü¶ó³²µµ¿¡¼­ ½Ç½ÃÇÑ ¹Ú¹°°ü ÀÚ°İ ¿ä°Ç ½É»ç¿¡¼­ Å»¶ôÇÏ¿© ÀÌ¸§¸¸ ¹Ú¹°°üÀÌÁö ¹Ú¹°°ü ÁöÀ§¸¦ ¹ÚÅ»´çÇß½À´Ï´Ù."
³ªÁÖ ±İ¼º°ü,4°ÇÀÇ<U+00A0>¸®ºä,Àü¶ó³²µµ ³ªÁÖ ±İ¼º°ü±æ 8 (¿ì) 58257,3À§(61°÷ÀÇ ³ªÁÖ ¼ÒÀç °ü±¤Áö Áß),"Tucked away in Naju, we found this place with a tour group. We went at night after dinner, so it was dark, but all lit up. It was quite beautiful. It used to be the governor's mansion. Not much to see, but interesting to historical buffs and artists. The paint-work is amazing. The old town drum and pavilion nearby are also beautiful. Definitely worth it if you're nearby and like the historical Korean architecture and artistry."
±¹¸³³ªÁÖ¹Ú¹°°ü,3°ÇÀÇ<U+00A0>¸®ºä,Àü¶ó³²µµ ³ªÁÖ ¹İ³²¸é °íºĞ·Î 747 (¿ì) 58301,7À§(61°÷ÀÇ ³ªÁÖ ¼ÒÀç °ü±¤Áö Áß),"ÀÏ¹İÀûÀÎ ¹Ú¹°°üÀÌ Á¢±Ù¼ºÀÌ ÁÁÀº ÁÁÀº°÷¿¡ À§Ä¡ÇÑ ¹İ¸é ³ªÁÖ¹Ú¹°°üÀº ³ªÁÖ½Ã³»¿¡¼­ Â÷·Î 20¿©ºĞ ¶³¾îÁø ¿Ü°û¿¡ ÀÖ´Ù. ¿Ü°üÀÌ ±ò²ûÇÏ¸ç ÀÜµğ·Î ÀÌ·ç¾îÁø °ø¿ø°°Àº ¿ÜºÎµµ º¼¸¸ÇÏ´Ù. Æ¯È÷ ¾ÆÀÌµé°ú °°ÀÌ °¡¸é ÁöÇÏ¿¡ ÀÖ´Â ³îÀÌ½Ã¼³¿¡ °¥ ¼ö ÀÖÀ¸¸ç, ³»°¡ ¹æ¹®ÇÑ ³¯Àº ¼ÕÀÎÇü±ØÀ» ÇÏ´Â ³¯ÀÌ¶ó ¾ÆÀÌµéÀÌ ÁÁ¾ÆÇß´Ù. ¹Ú¹°°üÀº ³ªÁÖ Áö¿ªÀÇ ¿ª»ç¸¦ ¼±»ç½Ã´ëºÎÅÍ ±Ù´ë±îÁö Àß Á¤¸®ÇØ ³õ¾Ò´Ù.Ãµ³â°íµµÀÇ ¿ª»ç¸¦ º¸±â¿¡ Àû´çÇÑ Àå¼ÒÀÔ´Ï´Ù. ´Ù¸¸ ½Ã³»¿¡¼­´Â °Å¸®°¡ ÀÖ´Ù´Â Á¡ÀÌ ¾Æ½±½À´Ï´Ù. ÀÚ°¡¿ëÀ¸·Î ÀÌµ¿ÇÑ´Ù¸é ¹æ¹®ÇÏ±â ÁÁÀº Àå¼ÒÀÔ´Ï´Ù.¹«·áÀÌ°í ÁÖÂ÷Àå ³ĞÀ½ ±×·¯³ª °øÁÖ ºÎ¿©º¸´Ù ¼öÁØÀÌ ³·À½ °¥°÷ ¾øÀ¸¸é °¡¼¼¿ä °ø¿ø Àß Á¶¼ºµÊ ³Ê¹« ¿ÜÁø°÷¿¡ À§Ä¡ÇÏ°í ÀÖÀ½ Ç×¾Æ¸®Çü ¹«´ı°üÀÌ ÀÎ»óÀû"
³ªÁÖ ÇĞ»ıµ¶¸³¿îµ¿ ±â³ä°ü,2°ÇÀÇ<U+00A0>¸®ºä,Àü¶ó³²µµ ³ªÁÖ Á×¸²±æ 26 (¿ì) 58260,4À§(61°÷ÀÇ ³ªÁÖ ¼ÒÀç °ü±¤Áö Áß),"C ( 19.08.03 ) This hall was located in quiet area, and commemorate about Student independence movement and discrimination. The hall was not big, but good to walk with exhibits. The exhibits was good to know about this movement, and it was meanings that this movement was occurred by students. Good memorial hall."
ºû°¡¶÷ È£¼ö°ø¿ø Àü¸Á´ë,4°ÇÀÇ<U+00A0>¸®ºä,Àü¶ó³²µµ ³ªÁÖ È£¼ö·Î 77 Geumcheon-myeon (¿ì) 58325,1À§(61°÷ÀÇ ³ªÁÖ ¼ÒÀç °ü±¤Áö Áß),"ÀÌ°÷Àº ³ªÁÖÇõ½Åµµ½Ã ³»ºÎ¿¡ ÀÎ°øÀûÀÎ ºÎºĞÀ» °¡¹ÌÇØ ¸¸µç È£¼ö°ø¿øÀÔ´Ï´Ù.°¢Á¾±æ¿¡¼­ Á¢±ÙÀÌ °¡´ÉÇÏÁö¸¸ Á¤ÀÛ Àü¸Á´ë´Â ±æÀ» Àß¸øµé¸é ¿øÀ» ±âÁØÀ¸´À 306µµ¸¦ µ¹¾Æ°¡¾ßÇÕ´Ï´Ù.»êÃ¥ÇÏ±â´Â ÁÁ½À´Ï´ÙÁ¶¿ëÇÑ ºĞÀ§±â »ç¹æÀ¸·Î ÇÑ´«¿¡ ¹Ù¶óº¼¼ö ÀÖ´Â Àü¸Á´ë Çõ½Åµµ½ÃÀÇ ¾Æ¸§´Ù¿î ¸¼ÀºÇ³°æµéÀÌ ³Ê¹«ÁÁ´Ù¢½¢½¢½ °Ç°­Àº Á¦2ÀÇ »îÀÌ. ¾Æ´Ñ°¡ ½Í´ÙÇõ½Åµµ½Ã´Â °ÅÀÇ ¼­¿ï ±Ù±³ Áö¿ª ³²ºÎ·´Áö ¾Ê°Ô ÇØ³ù½À´Ï´Ù. ±× Áß ÃÖ°íºÀÀÌ È£¼ö°ø¿ø Àü¸Á´ë ÀÎ µí ÇÕ´Ï´Ù. µ¹¹Ì²ô·³Æ² °­ÃßÇØ¿ä.³ªÁÖÇõ½Åµµ½Ã¿¡ ÀÖ´Â ºû°¡¶÷Àü¸Á´ë´Â Ä¿´Ù¶õ È£¼ö¿Í °ø¿ø, »êÃ¥·Î, ¾ß¿Ü¿îµ¿½Ã¼³ µîÀÌ ÀÖ´Â °÷ÀÇ ²À´ë±â¿¡ À§Ä¡ÇØ ÀÖ´Ù. Àü¸Á´ë±îÁö °É¾î°¥ ¼ö ÀÖÀ¸³ª °æ»ç°¡ ÀÖ¾î À¯¾Æ´Â Èûµé ¼ö ÀÖ´Ù. Æíµµ 1000¿ø ÇÏ´Â ÄÉÀÌºíÄ«°¡ ÀÖÀ¸¹Ç·Î ÀÌ¸¦ ÀÌ¿ëÇÏ¸é ½±°Ô ¿Ã¶ó°¥ ¼ö ÀÖÀ¸¸ç, Àü¸Á´ë¿¡ ¿À¸£¸é ³ëÀ», ¾ß°æÀÌ ÁÁ´Ù. ³ªÁÖÇõ½Åµµ½Ã°¡ ÇÑ´«¿¡ µé¾î¿À¸ç °Ç¼³µÇ´Â °úÁ¤µµ Àü½Ã¸¦ ÅëÇØ º¼ ¼ö ÀÖ´Ù. ³»·Á¿Ã ¶§´Â ¹Ì²ô·³Æ²À» ÀÌ¿ëÇØ º¸´Â °Íµµ Àç¹ÌÁß ÇÑ°¡Áö´Ù."
´ã¾ç Á×³ì¿ø,161°ÇÀÇ<U+00A0>¸®ºä,Àü¶ó³²µµ ´ã¾ç ´ã¾çÀ¾ Çâ±³¸® 282 (¿ì) 517-802,1À§(20°÷ÀÇ ´ã¾ç ¼ÒÀç °ü±¤Áö Áß),"Whan we were in Damyang my friends bring us here.Nice place, nice breeze, after lunch good for walking.My friends said this place use for movies and dramas.My guess, when sun set time has so nice views also can take nice photos.We stopped by to explore this park during our road trip and what a beautiful and peaceful place it is! Would definitely recommend this! My littler kids enjoyed the playground while older ones enjoyed the scenery and art most!A beautiful bamboo forest with Korean traditional buildings. There were some special events (e.g., tea ceremony) and activity zones when I visited. I'll say it's a family friendly place but it will be still excellent to couples or friends. It's calming atmosphere will definitely help you ease your stress. It will take 2-3 hours if you walk slowly, taking some photos at times.The right place to visit if you seek for tranquility and just release stress! Many people come here for sort of mental healing, the place is huge with many paths to take in the forest, and some museum and cafe (spare at least 1 hour to explore). It's also a popular place for couples to visit since it's a really calm and romantic atmosphere. This place is worth visit ANYTIME, because in all 4 seasons, the color of the bamboo won't change (always green). However, check the weather before coming there. Although it's also beautiful in the rain, if you come there to take pics of yourself, it's much better when it's sunny.A beautiful day at the Damyang Bamboo forest! While strolling down the bamboo forest, I felt so at peace and relaxed! It¡¯s a perfect getaway from a busy city life Also, you can take great photos as it¡¯s green all year around! Totally recommend it <U+2705> P. S: make sure to try their Bamboo ice cream! It¡¯s SO YUMMY!!I went to stay with my daughters in South Korea for two weeks and this is what we did on our last day together. We held hands and strolled through the beautiful bamboo-lined paths, shopped in some of the lovely shops, drank bamboo tea, ate bamboo ice cream, and one of my daughters and I even split a bamboo beer. It¡¯s a lovely place. Feels so good to be surrounded by greenery, so calming. My daughters are adults but it didn¡¯t give me the option ha haThis is basically a tourist trap. Someone planted a bunch of bamboo to make a mini-forest and make a pseudo-attraction. This is not a historical site and has no real significance. That said, it is still a pleasant walk and where else can you get and eat bamboo ice cream (which tastes suspiciously like green tea ice cream)?Just stroll around in here under the bamboo shade in a state of ignorance to busy city life. You can see lots of families or lovers walking along bamboo forest trails. Try bamboo sprout ice cream.Had never seen a bamboo forest so it was nice. We walk through the whole park maybe in about 1 hour or a bit more. There's a cafe quite near the entrance where we had really nice ice cream. At the other end of the park there was another cafe and we had bamboo leaf tea, which was surprisingly nice. We went in march and it wasn't crowded at all, we had a very nice time. I expect in the summer it must be a very busy area with lot's of activities just outside the park. We parked easily and for free but maybe that's due to the time of year, i think there is a bigger car park for the Bamboo forest around the back entrance.The effort to make this place a tourist attraction is marvellous using bamboo plantation.I did not make it to the other gate as it was quite a distance with the uneven steps.Basically, it is quite the same view walking through the park with bamboos surrounding you."
´ã¾ç ¸ŞÅ¸¼¼ÄõÀÌ¾Æ±æ,82°ÇÀÇ<U+00A0>¸®ºä,Àü¶ó³²µµ ´ã¾ç ¸ŞÅ¸¼¼ÄõÀÌ¾Æ·Î 12 Damyang-eup (¿ì) 57351,2À§(20°÷ÀÇ ´ã¾ç ¼ÒÀç °ü±¤Áö Áß),"It's a long street with tall metasequoia trees on both sides. You need to pay ($2-3, can't remember exactly) to get into the main road, which is about 1 mile. Walking through the main road is a refreshing experience. You will also find some great photo spots. No vehicles are allowed in the paid area. I went to Gwanbangjerim first and lent a bicycle to the Metasequoia road and it took about 10-15 minutres. I think you can directly get there too.This road is lined with big metasequoia trees. The lenghth of this road is around 5km. It is not free to stroll along the road. Our feelings are a little hurt to pay to stroll along this road. This place is very good for forest-bathing. You should pay 2,000 Korean Won to get in. But it is free after 18:00. You can see lots of people, especially lovers, to come here. There are shops, cafes, and restaurants at the entrance. It is good to take pictures around here.This is a one of the most famous place in Damyang. You can feel the fresh environment with everyoneWalked along Gwangbang Jae Lim and the views are awsome. At the end of Gwangbang Jae Lim will reach the Metasequoia-Lined Road. Can see the trees from the outside. Not worth paying 3000won to enter the road when Gwangbang Jae Lim is more impressive and it's free.I went here early in the morning before it was busy--which meant the road was quiet and peaceful. This is certainly a beautiful road for the purpose of enjoying nature.The shaded road makes a pleasant shaded walk in the summer. There is another avenue closer to the bamboo gardens which is more accessibleA very picturesque stretch of pedestrianized road lined with metasequoia trees. There are some quirky statues and features along the way which add interest. The road is not particularly long, perhaps a 10-15 minute walk. There was an entrance fee but it was minimal and the road is flat and suitable for pushchairs & wheelchairs.There is a strawberry farm at one end which sold the most sweetest, juiciest strawberries I've had. Well worth a visit!Was visiting Damyang to check Juknokwon bamboo garden and getting Metasiquoia trees road was a good bonus for my trip. Nothing more except for photographers or instagrammers - it will definitely add some likes to your account. There are some good cafes in the area as well. Worth visiting only if you are passing by this area.The Metasequoia Road is simply a walking path lined with trees, however, it is a beautiful place to take a stroll. It is pet-friendly as long as your dog is on a leash. It cost 2,000w per person to get in as well. The trees were still green but I imagine it's even more beautiful once fall is in full-swing and the leaves change color.A beautiful place with fresh air. Also good for couples to visit or even have a picnik. Pictures are also turning out great. But I reccoment only if you like nature."
À¯´Ş»ê,78°ÇÀÇ<U+00A0>¸®ºä,Àü¶ó³²µµ ¸ñÆ÷,1À§(17°÷ÀÇ ¸ñÆ÷ ¼ÒÀç °ü±¤Áö Áß),"Its a good climb, about an hour maximum, which does not require any special climbing tackles/ shoes other than flat. There are well trodden path with steps and guide ropes. There is a sculpture  park on the way.Parking your car at the entrance will cost you only 1000 won.Then a walk to the top gives various route options.The climb is reasonably easy and the time is less than an hour.The view from one sides shows the Mokpo Bridge which will give a...´õ º¸±âA local family drove us after dinner to the places near the peak of the yudal mountain park. Along the...´õ º¸±âA must see in Mokpo! Very nice way up to the top. Enjoy the view. The way up is not...´õ º¸±â(1) Do prepare yourself for a strenuous activity. 
(2) Not much to see. Just the view from the top once you reach.The hike to the top was nice even though there was no English signage to indicate which path to take. However, the view of Mokpo from the top was nothing special in my opinion. There's not much else to do in Mokpo though so it's...´õ º¸±âIt's not a difficult walk up this hill, on stone-paved paths. There are a few pavilions at various levels, each...´õ º¸±âWalked up here on Sunday morning. Lots of others doing the same. Quite an easy walk and really good views at the top. Well cut out steps to climb on. Not much signage, just keep heading up!Started the hike on a rainy morning.... but picked up a $6 umbrella at the store at the bottom of...´õ º¸±âThe area is very extended and you can enter through different pathways. There is a lot to hike and a lot to see. A lot of couples come here to enjoy the view together. Since there are different paths one can enjoy the view on...´õ º¸±â"
±¹¸³ ÇØ¾ç ¹®È­Àç ¿¬±¸¼Ò ÇØ¾ç ¹Ú¹°°ü,30°ÇÀÇ<U+00A0>¸®ºä,Àü¶ó³²µµ ¸ñÆ÷ ³²³ó·Î 136,3À§(17°÷ÀÇ ¸ñÆ÷ ¼ÒÀç °ü±¤Áö Áß),"For its size, Mokpo has a lot to offer. This museum was excellent. There were a few attractions outside and 4 exhibition halls inside. Huge bonus: admission was free. It was well set up. The first exhibition hall started with 2 major excavated ships, their remains and retrieved cargo, then moved into the main historical recovery. I believe it was the Sinan ship and cargo. It was beautiful and well designed. Arrows on the floor helped you know which way to go, and most of the descriptions were also in English. Enough so that it was interesting to read the history. Then the 3rd and 4th exhibition halls included the ancient history of maritime in Korea and then modern age maritime history in and around Korea. Well laid out. They also have a neat little souvenir shop with some knick knacks and a play area for kids.After a misunderstanding with directions and our taxi driver (significantly our errors) we made it to the museum. It was quite simply brilliant and catered fully to my full dependence on English as my only language. Logical layout and terrific graphics and mixed media to support interpretation and maintain high degree of engagement. Would highly recommend.I loved visiting the museum and was very impressed with the exhibits the little gift shop had beautiful souvenirs to remember the visit. Again as a foreigner even getting coffee can be a problem when you not sure what you asking forI thought this might be a rather worthy place but actually it was completely riveting. The recovered 14th century shipwreck is superbly displayed and evokes a period when trade between China, Korea and Japan was flourishing, with whole stacks of completely unblemished bowls preserved down the centuries. The photos of the recovery effort in the 1970s and 1980s give a sense of how exciting it must have been to bring up from the deep so many artefacts untouched for centuries.Free. Yes this great local museum is free. The amount of rose wood in the ship wrack was amazing. All the 15th century Korean Chinese and Japanese ceramics are amazing. The tons and tons and tons of Rosewood is what amazed me.This is a first of a kind I visited in Korea. The museum and it's exhi bition is dedicated on a discovery of a 500 years old shunken ferry. It let us see the old trade items and route. It was quite educational for our family.This museum is well organized and staffs are very kind. Audio guide is available and it exhibits the historical relics/artifacts found in sunken vessel from Mokpo port. It reveals that this port was an important spot of overseas trading between Korea, China and Japan from 12th century to 17th century. There are exhibits for kids as well.A very nice and organized museum.
Visitor can see nay shipwrecks and recovery items and can learn the maritime history of Korea throw them. 
It worth to visit specially with your children.Very nice museum to walk around. Doesn't take much time to finish. The entrance is free. When I was there, there were no audio guides in English. There are 5-6 rooms with an own theme. The showpiece was a chinese ship that has sunk in the korean waters 600 years ago.It is the place where archeologists restore Korean ancient and middle-aged ships after finding wrecked ones in Yellow sea. You can see not only the ships but various relics found in them. For children, it's fairly nice place."
°«¹ÙÀ§,55°ÇÀÇ<U+00A0>¸®ºä,Àü¶ó³²µµ ¸ñÆ÷ ¿ëÇØµ¿,2À§(17°÷ÀÇ ¸ñÆ÷ ¼ÒÀç °ü±¤Áö Áß),"The Gatbawi Rocks were very neat. Situated near multiple museums and a nice park, it's a great place to go. Its a quick easy walk around a boardwalk on the water to get to them. The plaques explain the stories and history of the rocks. They have it in multiple languages, including English, Chinese and Japanese. Great for photos and doesn't take long. For better views, follow a trail to the top of the cliff overhead for views of the water and surrounding area. Be sure to wear good shoes if you do this. For just the boardwalk, footwear isn't as critical. But you do want a camera.An interesting rock formation by the seashore. Erosion over centuries has carved out 2 figure heads which appears as if they are wearing old style Korean hat. To find out what the story is you will have to visit !My son visited the site before and I looked forward to seeing it and I was not disappointed it really is special to see and read the history I lived visiting and would highly recommend itThe rocks are only 100 meters from the main road .There is a large sign marking the spot and a loop walk of 5 minutes will get you to the site.There is a explanation board there and an easy photo.Worth the effort.They are probably nice and sweety (the meaning at least) but I couldn¡¯t see them due to work reason, they are under costruction or sometjing... i climbed the rock on top and reached them from top..the view btw is spectacular of the whole bay...it was also foggy day and looked like Pirate¡¯s IslandWe took an evening stroll along the waterfront area straddling from two major attractions, the water fountains and the Gatbawi Rock, in Mokpo, South Korea. There are lots of locals walking briskly or slowly like us. The lifestyle is relaxed in contrast to the big cities.its walking line is connected to the new sightseeing site, Peace square. I think this place is one of the best playing places in Mokpo.The rock formation is very unusual and uniquely shaped. The city has built a deck in front of it to see and walk around. The sea itself is very beautiful and the hill above it offers a pleasant walk and nice view. There are other attractions nearby. You don't need to make a separate trip just for it.It's quite a nice walk and i think very enjoyable during the spring or when the weather is nice. the walk is fairly short and there isn't much reason to linger by the rocks but its verypleasant and the rocks have a nice story. It's nice to visit if you're in the area and want to enjoy a day at the park of have a short hike afterwards.Nice how weather could shape these rocks in what they are now. From the walkway you can admire these two and at night they're illuminated (luckily not as excessively as the walkway)"
